Date,Age.day,Set,Stimulus,Clutch,Tray,Set.up.hour,Set.up.min,Set.up.time,Already.H,Other.non.test.LD,H.in.setup,Test.eggs.contact,Test.eggs.no.contact,Test.eggs.primary,Stage1,Stage2,Stage3,Stage.avg,H.contact,H.no.contact,Hatchability.test,Hatch.primary,PH.primary,PH.contact,PH.no.contact,Con1,Con2,Con3,Con4,Con5,Con6,Con7,NC1,NC2,NC3,NC4,NC5,NC6,NC7,NC8
20180621,4,19,M+T,C159,1,20,53,20.88,0,0,0,10,5,10,29,29,29,29,3,1,All H,3,0.3,0.3,0.2,141,180,180,NA,NA,NA,NA,164,NA,NA,NA,NA,NA,NA,NA
20180621,4,20,M+T,C156,1,21,51,21.85,0,0,1,10,4,10,29,29,29,29,2,1,All H,2,0.2,0.2,0.25,105,146,198,NA,NA,NA,NA,115,NA,NA,NA,NA,NA,NA,NA
20180621,4,21,M+T,C161,1,23,18,23.3,0,0,0,10,5,10,29,29,29,29,4,1,All H,4,0.4,0.4,0.2,64,107,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180621,4,22,M+T,C157,2,0,13,0.22,3,0,2,5,5,5,31,29,31,30.33,2,1,All H,2,0.4,0.4,0.2,96,260,NA,NA,NA,NA,NA,168,NA,NA,NA,NA,NA,NA,NA
20180628,4,33,M+T,C223,1,20,29,20.48,0,0,0,10,5,10,29,29,29,29,3,0,All H,3,0.3,0.3,0,48,117,206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180628,4,34,M+T,C226,1,21,17,21.28,0,0,0,10,5,10,29,29,29,29,2,0,All H,2,0.2,0.2,0,77,345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180628,4,35,M+T,C227,1,22,9,22.15,0,0,0,10,5,10,29,29,29,29,2,1,All H,2,0.2,0.2,0.2,71,NA,NA,NA,NA,NA,NA,67,NA,NA,NA,NA,NA,NA,NA
20180628,4,36,M+T,C224,1,23,6,23.1,0,0,0,8,7,8,29,29,29,29,2,0,All H,2,0.25,0.25,0,15,249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180628,4,37,M+T,C225,2,0,12,0.2,0,0,0,10,5,10,29,30,30,29.67,4,0,All H,4,0.4,0.4,0,80,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180702,4,39,M+T,C266,1,20,8,20.13,0,0,0,9,6,9,29,29,29,29,0,0,All H,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180702,4,40,M+T,C261,3,20,57,20.95,0,0,0,10,5,10,29,29,29,29,1,0,All H,1,0.1,0.1,0,506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180609,5,1,M+T,C35,3,17,10,17.17,2,0,1,8,4,8,32,31,31,31.33,8,3,All H,8,1,1,0.75,11,56,59,NA,NA,NA,NA,13,14,16,17,57,76,105,111
20180611,5,5,M+T,C41,2,17,39,17.65,1,0,5,5,4,5,30,31,31,30.67,5,3,All H,5,1,1,0.75,6,24,25,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180611,5,6,M+T,C50,1,18,40,18.67,1,0,3,6,5,6,32,32,31,31.67,3,2,All H,3,0.5,0.5,0.4,8,52,66,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA
20180615,5,10,M+T,C89,2,18,49,18.82,0,0,2,8,5,8,33,34,33,33.33,8,2,All H,8,1,1,0.4,16,17,43,NA,NA,NA,NA,49,NA,NA,NA,NA,NA,NA,NA
20180615,5,11,M+T,C90,2,19,50,19.83,1,0,3,8,3,8,31,31,31,31,3,1,All H,3,0.375,0.38,0.33,52,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA
20180615,5,12,M+T,C79,1,21,12,21.2,0,0,4,8,3,8,33,33,33,33,4,0,All H,4,0.5,0.5,0,12,41,76,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180618,5,16,M+T,C116,1,16,9,16.15,1,0,2,9,3,9,32,32,32,32,6,1,All H,6,0.666666667,0.67,0.33,12,15,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
