Date,Age.day,Set,Stimulus,StimClass1,StimClass2,Clutch,Tray,Set.up.hour,Set.up.min,Set.up.time,Already.H,Other.non.test.LD,H.in.setup,Test.eggs.contact,Test.eggs.no.contact,Test.eggs.primary,Stage1,Stage2,Stage3,Stage.avg,H.contact,H.no.contact,Hatchability.test,Hatch.primary,PH.primary,PH.contact,PH.no.contact,First_Hatch,Con1,Con2,Con3,Con4,Con5,Con6,Con7,Con8,Con9,Con10,NC1,NC2,NC3,NC4,NC5,NC6,NC7,NC8,NC9,NC10,NC11,NC12,NC13,NC14,NC15,Notes
20170706,4,20,M+T,T-included,M-included,C208,1,21,26,21.43,0,0,0,10,5,10,30,30,30,30,8,4,All H,8,0.8,0.8,0.8,51,51,56,60,76,91,95,114,157,NA,NA,47,71,114,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170622,5,3,M+T,T-included,M-included,C83,3,18,57,18.95,0,0,4,7,4,7,33,33,34,33.33,7,4,NA,7,1,1,1,12,12,24,53,53,64,151,202,NA,NA,NA,36,38,61,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170622,5,4,M+T,T-included,M-included,C72,1,19,42,19.7,3,1,1,7,3,7,33,34,NA,33.5,7,2,All H,7,1,1,0.67,22,22,22,32,43,59,59,160,NA,NA,NA,36,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170622,5,5,M+T,T-included,M-included,C78,2,20,20,20.33,6,0,1,6,2,6,34,34,33,33.67,5,0,All H,5,0.833333333,0.83,0,40,40,56,67,77,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170627,5,6,M+T,T-included,M-included,C118,1,14,45,14.75,0,0,0,10,5,10,30,30,31,30.33,10,0,All H,10,1,1,0,20,20,28,61,66,73,79,86,134,158,181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170627,5,7,M+T,T-included,M-included,C119,1,16,8,16.13,0,0,3,9,3,9,31,31,32,31.33,9,3,NA,9,1,1,1,15,15,19,24,25,26,57,63,69,91,NA,31,91,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170627,5,8,M+T,T-included,M-included,C123,3,16,43,16.72,0,0,0,10,5,10,32,32,32,32,10,5,NA,10,1,1,1,18,18,19,37,51,51,64,79,80,107,107,51,51,68,86,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170627,5,9,M+T,T-included,M-included,C120,2,17,12,17.2,1,0,0,9,5,9,31,31,32,31.33,4,2,All H,4,0.444444444,0.44,0.4,49,49,55,70,73,NA,NA,NA,NA,NA,NA,49,193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170630,5,10,M+T,T-included,M-included,C169,2,14,24,14.4,1,0,1,9,4,9,31,31,30,30.67,8,1,All H,8,0.888888889,0.89,0.25,54,54,57,67,81,98,219,219,219,NA,NA,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170630,5,11,M+T,T-included,M-included,C165,1,15,24,15.4,2,0,0,8,5,8,34,34,34,34,6,3,All H,6,0.75,0.75,0.6,16,16,50,84,293,293,400,NA,NA,NA,NA,16,16,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170630,5,12,M+T,T-included,M-included,C183,1,16,24,16.4,0,0,0,10,5,10,32,32,32,32,9,3,All H,9,0.9,0.9,0.6,14,14,18,20,25,35,36,40,48,80,NA,64,71,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170630,5,13,M+T,T-included,M-included,C182,2,17,49,17.82,0,0,6,6,3,6,32,32,32,32,6,1,All H,6,1,1,0.33,16,16,16,26,37,46,73,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170630,5,14,M+T,T-included,M-included,C178,1,18,42,18.7,1,0,0,8,6,8,31,32,34,32.33,7,4,All H,7,0.875,0.88,0.67,14,14,18,27,48,61,80,199,NA,NA,NA,36,58,88,228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170708,5,15,M+T,T-included,M-included,C228,1,14,16,14.27,3,0,2,7,3,7,33,33,33,33,6,2,All H,6,0.857142857,0.86,0.67,14,14,18,50,66,70,303,NA,NA,NA,NA,57,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170708,5,16,M+T,T-included,M-included,C226,3,15,34,15.57,5,0,0,9,1,9,32,32,32,32,3,0,All H,3,0.333333333,0.33,0,21,21,50,301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170709,5,17,M+T,T-included,M-included,C235,1,14,52,14.87,0,0,4,8,3,8,32,32,33,32.33,7,3,All H,7,0.875,0.88,1,5,5,8,10,50,76,98,320,NA,NA,NA,36,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170709,5,19,M+T,T-included,M-included,C236,1,16,48,16.8,2,0,4,5,4,5,32,32,34,32.67,5,3,All H,5,1,1,0.75,24,24,24,43,43,57,NA,NA,NA,NA,NA,47,50,231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170709,5,20,M+T,T-included,M-included,C231,1,17,40,17.67,0,0,2,9,4,9,32,32,31,31.67,9,3,All H,9,1,1,0.75,23,23,48,64,73,73,84,88,100,343,NA,91,106,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170709,5,21,M+T,T-included,M-included,C240,2,18,25,18.42,3,0,0,8,4,8,31,32,33,32,8,3,All H,8,1,1,0.75,9,9,10,25,30,41,50,69,90,NA,NA,50,62,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170710,5,22,M+T,T-included,M-included,C253,2,14,15,14.25,1,0,0,8,6,8,32,33,33,32.67,8,5,All H,8,1,1,0.83,13,13,19,19,33,36,38,85,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170710,5,23,M+T,T-included,M-included,C251,3,15,7,15.12,1,0,3,8,3,8,32,32,32,32,8,2,All H,8,1,1,0.67,8,8,21,46,50,57,72,176,187,NA,NA,20,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170621,4,1,T-only,T-included,T-only,C90,3,19,2,19.03,0,0,0,9,6,9,29,30,NA,29.5,3,0,All H,3,0.333333333,0.33,0,7,7,9,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170621,4,2,T-only,T-included,T-only,C101,2,20,23,20.38,2,0,0,7,6,7,30,30,30,30,2,0,All H,2,0.285714286,0.29,0,119,119,184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170621,4,3,T-only,T-included,T-only,C95,3,21,24,21.4,0,0,0,10,5,10,30,30,30,30,3,0,All H,3,0.3,0.3,0,168,168,327,419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170621,4,4,T-only,T-included,T-only,C94,1,22,4,22.07,0,0,0,9,6,9,30,30,30,30,4,0,All H,4,0.444444444,0.44,0,351,351,396,397,407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170621,4,5,T-only,T-included,T-only,C103,2,23,6,23.1,0,0,0,10,5,10,30,30,30,30,5,1,All H,5,0.5,0.5,0.2,17,17,62,62,63,194,NA,NA,NA,NA,NA,342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
